Brand,Model,Variant,Battery Capacity,Battery Type,Range,Motor Power,Charging Time,Max Speed,Image,Cloudinary_Image
MG,4,Urban,43.0 kWh,Lithium Iron Phosphate,316 km,148 HP,7.5 Hours,160 KM/H,https://cache1.pakwheels.com/system/car_generation_pictures/17231/original/WhatsApp_Image_2026-05-18_at_22.40.50.jpeg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939017/car_database/mg_4_urban_image.jpg
Deepal,S07,EV,66.8 kWh,Ternary Lithium,485 km,255 HP,8.0 Hours,180 KM/H,https://cache1.pakwheels.com/system/car_generation_pictures/7992/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939018/car_database/deepal_s07_ev_image.jpg
Jaecoo,J6,Comfort RWD,49.9 kWh,Lithium,329 km,184 HP,9.0 Hours,180 KM/H,https://cache2.pakwheels.com/system/car_generation_pictures/10329/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939019/car_database/jaecoo_j6_comfort_rwd_image.jpg
Jaecoo,J6,Luxury RWD,65.6 kWh,Lithium,426 km,184 HP,9.0 Hours,180 KM/H,https://cache2.pakwheels.com/system/car_generation_pictures/10329/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939021/car_database/jaecoo_j6_luxury_rwd_image.jpg
Jaecoo,J6,Premium AWD,69.7 kWh,Lithium,418 km,279 HP,9.0 Hours,180 KM/H,https://cache2.pakwheels.com/system/car_generation_pictures/10329/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939022/car_database/jaecoo_j6_premium_awd_image.jpg
BYD,Atto 2,Premium,45.12 kWh,Blade Battery,380 km,174 HP,8.0 Hours,160 KM/H,https://cache1.pakwheels.com/system/car_generation_pictures/16692/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939023/car_database/byd_atto_2_premium_image.jpg
GUGO,GIGI,220,16.8 kWh,Lithium,220 km,40 HP,5.0 Hours,100 KM/H,https://cache2.pakwheels.com/system/car_generation_pictures/7685/original/gigi220.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939024/car_database/gugo_gigi_220_image.jpg
BMW,i4,eDrive35,67.0 kWh,Lithium,483 km,286 HP,9.0 Hours,190 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/9006/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939025/car_database/bmw_i4_edrive35_image.jpg
BMW,i4,eDrive40,84.0 kWh,Lithium,590 km,340 HP,11.0 Hours,190 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/9006/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939026/car_database/bmw_i4_edrive40_image.jpg
BMW,i4,M50,84.0 kWh,Lithium,510 km,536 HP,9.0 Hours,225 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/9006/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939028/car_database/bmw_i4_m50_image.jpg
BMW,i4,M60,81.1 kWh,Lithium,544 km,601 HP,8.0 Hours,225 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/9006/original/Cover.jpg,https://cache4.pakwheels.com/system/car_generation_pictures/9006/original/Cover.jpg
Seres,3,EV,54.0 kWh,Lithium-Ion,403 km,156 HP,6.0 Hours,160 KM/H,https://cache1.pakwheels.com/system/car_generation_pictures/7844/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939030/car_database/seres_3_ev_image.jpg
Deepal,L07,EV,66.8 kWh,Ternary Lithium,540 km,255 HP,8.0 Hours,180 KM/H,https://cache3.pakwheels.com/system/car_generation_pictures/7993/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939031/car_database/deepal_l07_ev_image.jpg
KIA,EV5,Air,64.2 kWh,Lithium Iron Phosphate,490 km,215 HP,10.0 Hours,185 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/8818/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939032/car_database/kia_ev5_air_image.jpg
KIA,EV5,EARTH,88.1 kWh,Lithium Iron Phosphate,620 km,308 HP,8.0 Hours,185 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/8818/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939033/car_database/kia_ev5_earth_image.jpg
Alektra,Metro,2-Door (7.2 kWh),7.2 kWh,Lithium,100 km,7 HP,5.0 Hours,50 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/10162/original/_fffcd5_-_Cream.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939035/car_database/alektra_metro_2-door_%287.2_kwh%29_image.jpg
Alektra,Metro,2-Door (10.8 kWh),10.8 kWh,Lithium,140 km,7 HP,5.0 Hours,50 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/10162/original/_fffcd5_-_Cream.jpg,https://cache4.pakwheels.com/system/car_generation_pictures/10162/original/_fffcd5_-_Cream.jpg
Alektra,Metro,2-Door (12.96 kWh),12.96 kWh,Lithium,180 km,7 HP,5.0 Hours,50 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/10162/original/_fffcd5_-_Cream.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939037/car_database/alektra_metro_2-door_%2812.96_kwh%29_image.jpg
Alektra,Metro,4-Door (7.2 kWh),7.2 kWh,Lithium,100 km,7 HP,5.0 Hours,50 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/10162/original/_fffcd5_-_Cream.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939038/car_database/alektra_metro_4-door_%287.2_kwh%29_image.jpg
Alektra,Metro,4-Door (10.8 kWh),10.8 kWh,Lithium,140 km,7 HP,5.0 Hours,50 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/10162/original/_fffcd5_-_Cream.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939039/car_database/alektra_metro_4-door_%2810.8_kwh%29_image.jpg
Alektra,Metro,Solar 4-Door (7.2 kWh),7.2 kWh,Lithium,100 km,7 HP,5.0 Hours,50 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/10162/original/_fffcd5_-_Cream.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939040/car_database/alektra_metro_solar_4-door_%287.2_kwh%29_image.jpg
Alektra,Metro,4-Door (12.96 kWh),12.96 kWh,Lithium,180 km,7 HP,5.0 Hours,50 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/10162/original/_fffcd5_-_Cream.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939041/car_database/alektra_metro_4-door_%2812.96_kwh%29_image.jpg
Alektra,Metro,Solar 4-Door (10.8 kWh),10.8 kWh,Lithium,140 km,7 HP,5.0 Hours,50 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/10162/original/_fffcd5_-_Cream.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939043/car_database/alektra_metro_solar_4-door_%2810.8_kwh%29_image.jpg
Alektra,Metro,Solar 4-Door (12.96 kWh),12.96 kWh,Lithium,180 km,7 HP,5.0 Hours,50 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/10162/original/_fffcd5_-_Cream.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939044/car_database/alektra_metro_solar_4-door_%2812.96_kwh%29_image.jpg
Dongfeng,Box,Smart 330,32.56 kWh,Lithium,330 km,94 HP,6.0 Hours,140 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/8581/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939045/car_database/dongfeng_box_smart_330_image.jpg
Dongfeng,Box,Lux 430,42.3 kWh,Lithium,430 km,95 HP,6.0 Hours,140 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/8581/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939046/car_database/dongfeng_box_lux_430_image.jpg
Dongfeng,Box,Flagship 430,42.3 kWh,Lithium Iron Phosphate,430 km,95 HP,6.0 Hours,140 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/8581/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939047/car_database/dongfeng_box_flagship_430_image.jpg
ORA,03,400-Pro,48.0 kWh,Lithium,310 km,105 HP,8.0 Hours,160 KM/H,https://cache4.pakwheels.com/system/car_version_specification_pictures/1262/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939048/car_database/ora_03_400-pro_image.jpg
BMW,iX,xDrive40,71.0 kWh,Lithium,429 km,326 HP,8.0 Hours,200 KM/H,https://cache1.pakwheels.com/system/car_generation_pictures/6407/original/BMW_iX_Front.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939049/car_database/bmw_ix_xdrive40_image.jpg
BMW,iX,xDrive60,111.5 kWh,Lithium,701 km,536 HP,11.0 Hours,200 KM/H,https://cache1.pakwheels.com/system/car_generation_pictures/6407/original/BMW_iX_Front.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939050/car_database/bmw_ix_xdrive60_image.jpg
MG,Cyberster,GT (Single),77.0 kWh,Lithium-ion Battery,507 km,335 HP,11.0 Hours,200 KM/H,https://cache3.pakwheels.com/system/car_generation_pictures/8778/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939052/car_database/mg_cyberster_gt_%28single%29_image.jpg
MG,Cyberster,GT (Dual),77.0 kWh,Lithium-ion Battery,443 km,496 HP,11.0 Hours,200 KM/H,https://cache3.pakwheels.com/system/car_generation_pictures/8778/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939053/car_database/mg_cyberster_gt_%28dual%29_image.jpg
MG,5 EV,SE Long Range,61.0 kWh,Lithium,400 km,154 HP,10.0 Hours,185 KM/H,https://cache3.pakwheels.com/system/car_generation_pictures/13594/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939054/car_database/mg_5_ev_se_long_range_image.jpg
Tesla,Model Y,Long Range,75.0 kWh,Lithium-ion,514 km,254 HP,8.0 Hours,217 KM/H,https://cache3.pakwheels.com/system/car_generation_pictures/15421/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939055/car_database/tesla_model_y_long_range_image.jpg
Tesla,Model Y,Performance,75.0 kWh,Lithium-ion,450 km,534 HP,8.0 Hours,294 KM/H,https://cache3.pakwheels.com/system/car_generation_pictures/15421/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939056/car_database/tesla_model_y_performance_image.jpg
Tesla,Model Y,Standard Range,60.0 kWh,Lithium-ion,418 km,220 HP,8.0 Hours,217 KM/H,https://cache3.pakwheels.com/system/car_generation_pictures/15421/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939058/car_database/tesla_model_y_standard_range_image.jpg
GUGO,Box,E1,31.4 kWh,Lithium Iron Phosphate,330 km,95 HP,6.0 Hours,140 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/8101/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939059/car_database/gugo_box_e1_image.jpg
GUGO,Box,E2,42.3 kWh,Lithium Iron Phosphate,430 km,95 HP,6.0 Hours,140 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/8101/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939060/car_database/gugo_box_e2_image.jpg
GUGO,Box,E3,42.3 kWh,Lithium Iron Phosphate,430 km,95 HP,6.0 Hours,140 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/8101/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939062/car_database/gugo_box_e3_image.jpg
JMEV,EV3,Comfort,30.0 kWh,Lithium iron phosphate,330 km,67 HP,7.0 Hours,102 KM/H,https://cache1.pakwheels.com/system/car_generation_pictures/17022/original/Cover_%2827%29.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939063/car_database/jmev_ev3_comfort_image.jpg
JMEV,EV3,Premium,30.0 kWh,Lithium iron phosphate,330 km,67 HP,7.0 Hours,102 KM/H,https://cache1.pakwheels.com/system/car_generation_pictures/17022/original/Cover_%2827%29.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939064/car_database/jmev_ev3_premium_image.jpg
BYD,Sealion 7,Advanced,82.56 kWh,Lithium-ion,567 km,308 HP,8.0 Hours,215 KM/H,https://cache2.pakwheels.com/system/car_generation_pictures/16698/original/Cover.jpg,https://cache2.pakwheels.com/system/car_generation_pictures/16698/original/Cover.jpg
Xpeng,X9,Long Range Pro+ 2WD,101.5 kWh,Lithium,590 km,315 HP,11.0 Hours,200 KM/H,https://cache2.pakwheels.com/system/car_generation_pictures/16682/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939066/car_database/xpeng_x9_long_range_pro%2B_2wd_image.jpg
Xpeng,G6,Standard Range RWD,68.5 kWh,Lithium-ion,480 km,248 HP,8.0 Hours,202 KM/H,https://cache1.pakwheels.com/system/car_generation_pictures/16672/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939067/car_database/xpeng_g6_standard_range_rwd_image.jpg
Xpeng,G6,Long Range RWD,80.8 kWh,Lithium-ion,535 km,292 HP,8.0 Hours,202 KM/H,https://cache1.pakwheels.com/system/car_generation_pictures/16672/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939068/car_database/xpeng_g6_long_range_rwd_image.jpg
Xpeng,G6,Performance AWD,80.8 kWh,Lithium-ion,510 km,480 HP,8.0 Hours,202 KM/H,https://cache1.pakwheels.com/system/car_generation_pictures/16672/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939070/car_database/xpeng_g6_performance_awd_image.jpg
Dongfeng,VIGO,E1,44.94 kWh,Lithium,430 km,161 HP,6.0 Hours,150 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/10351/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939071/car_database/dongfeng_vigo_e1_image.jpg
Dongfeng,VIGO,E2,44.94 kWh,Lithium,430 km,161 HP,6.0 Hours,150 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/10351/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939072/car_database/dongfeng_vigo_e2_image.jpg
MG,Binguo,Pro,31.9 kWh,Lithium Ferro-Phosphate,333 km,67 HP,5.0 Hours,120 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/10303/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939074/car_database/mg_binguo_pro_image.jpg
Dongfeng,007,Essence,58.4 kWh,Lithium,550 km,215 HP,7.0 Hours,180 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/10307/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939075/car_database/dongfeng_007_essence_image.jpg
Dongfeng,007,Prestige,73.5 kWh,Lithium,650 km,268 HP,7.0 Hours,180 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/10307/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939076/car_database/dongfeng_007_prestige_image.jpg
Dongfeng,007,Excellence,73.5 kWh,Lithium,565 km,536 HP,7.0 Hours,180 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/10307/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939077/car_database/dongfeng_007_excellence_image.jpg
Deepal,E07,Performance AWD,89.98 kWh,Ternary Lithium,590 km,590 HP,8.0 Hours,210 KM/H,https://cache1.pakwheels.com/system/car_generation_pictures/10277/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939079/car_database/deepal_e07_performance_awd_image.jpg
GUGO,AION UT,Premium,49.0 kWh,Magazine LPE,425 km,134 HP,6.0 Hours,150 KM/H,https://cache1.pakwheels.com/system/car_generation_pictures/9994/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939081/car_database/gugo_aion_ut_premium_image.jpg
GUGO,AION UT,Luxury,60.0 kWh,Magazine LPE,500 km,201 HP,7.0 Hours,165 KM/H,https://cache1.pakwheels.com/system/car_generation_pictures/9994/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939082/car_database/gugo_aion_ut_luxury_image.jpg
GUGO,AION V,Premium,64.0 kWh,Magazine LPE,500 km,181 HP,6.0 Hours,150 KM/H,https://cache1.pakwheels.com/system/car_generation_pictures/10018/original/Cover_%288%29.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939084/car_database/gugo_aion_v_premium_image.jpg
GUGO,AION V,Luxury,75.0 kWh,Magazine LPE,600 km,201 HP,6.0 Hours,150 KM/H,https://cache1.pakwheels.com/system/car_generation_pictures/10018/original/Cover_%288%29.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939085/car_database/gugo_aion_v_luxury_image.jpg
JMEV,Elight,Comfort,56.3 kWh,Lithium Iron Phosphate,500 km,222 HP,10.0 Hours,140 KM/H,https://cache2.pakwheels.com/system/car_generation_pictures/9250/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939086/car_database/jmev_elight_comfort_image.jpg
JMEV,Elight,Premium,56.3 kWh,Lithium Iron Phosphate,500 km,222 HP,10.0 Hours,140 KM/H,https://cache2.pakwheels.com/system/car_generation_pictures/9250/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939087/car_database/jmev_elight_premium_image.jpg
Forthing,Friday,BEV Luxury,64.4 kWh,Lithium Iron Phosphate,500 km,204 HP,6.0 Hours,170 KM/H,https://cache1.pakwheels.com/system/car_generation_pictures/9245/original/Cover_%2812%29.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939088/car_database/forthing_friday_bev_luxury_image.jpg
Forthing,Friday,BEV Exclusive,64.4 kWh,Lithium Iron Phosphate,500 km,204 HP,6.0 Hours,170 KM/H,https://cache1.pakwheels.com/system/car_generation_pictures/9245/original/Cover_%2812%29.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939089/car_database/forthing_friday_bev_exclusive_image.jpg
Riddara,RD6,Econ,73.0 kWh,Lithium Iron Phosphate,424 km,280 HP,9.0 Hours,160 KM/H,https://cache1.pakwheels.com/system/car_generation_pictures/10325/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939091/car_database/riddara_rd6_econ_image.jpg
Riddara,RD6,Air,73.0 kWh,Lithium Iron Phosphate,461 km,200 HP,9.0 Hours,185 KM/H,https://cache1.pakwheels.com/system/car_generation_pictures/10325/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939092/car_database/riddara_rd6_air_image.jpg
Riddara,RD6,Pro,73.0 kWh,Lithium Iron Phosphate,424 km,315 HP,9.0 Hours,190 KM/H,https://cache1.pakwheels.com/system/car_generation_pictures/10325/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939093/car_database/riddara_rd6_pro_image.jpg
